uy;kode;key;product_name;broker_used;security_used;total_qs_reins_capacity;broker_qs_share;broker_sp_share;share_qs_per_panel_of_100_pct;komisi_qs_per_panel;komisi_sp_per_panel;share_qs_panel_of_share_reas;share_sp_panel_of_share_reas;panel_share_qs_of_broker_100_pct;tgl_awal;tgl_akhir;rumus;unique_code
2006;TRC;2006TRC;Asuransi Kredit Perdagangan;ASURANSI ASEI INDONESIA, PT;ASURANSI ASEI INDONESIA, PT;0.5;0.02;;0.01;0.325;0;0.02;0;1;0;0;2006Asuransi Kredit Perdagangan;2006Asuransi Kredit PerdaganganASURANSI ASEI INDONESIA, PT
2006;TRC;2006TRC;Asuransi Kredit Perdagangan;ASURANSI BUMIPUTERA MUDA, PT;ASURANSI BUMIPUTERA MUDA, PT;0.5;0.02;;0.01;0.325;0;0.02;0;1;0;0;2006Asuransi Kredit Perdagangan;2006Asuransi Kredit PerdaganganASURANSI BUMIPUTERA MUDA, PT
2006;TRC;2006TRC;Asuransi Kredit Perdagangan;ASURANSI PURIASIH, PT;ASURANSI PURIASIH, PT;0.5;0.02;;0.01;0.325;0;0.02;0;1;0;0;2006Asuransi Kredit Perdagangan;2006Asuransi Kredit PerdaganganASURANSI PURIASIH, PT
2006;TRC;2006TRC;Asuransi Kredit Perdagangan;ATRADIUS-RE;ATRADIUS-RE;0.5;0.2;;0.1;0.3;0;0.2;0;1;0;0;2006Asuransi Kredit Perdagangan;2006Asuransi Kredit PerdaganganATRADIUS-RE
2006;TRC;2006TRC;Asuransi Kredit Perdagangan;MUNICH REINSURANCE COMPANY KONINGINSTRASSE 107;MUNICH REINSURANCE COMPANY KONINGINSTRASSE 107;0.5;0.6;;0.3;0.25;0;0.6;0;1;0;0;2006Asuransi Kredit Perdagangan;2006Asuransi Kredit PerdaganganMUNICH REINSURANCE COMPANY KONINGINSTRASSE 107
2006;TRC;2006TRC;Asuransi Kredit Perdagangan;REASURANSI NASIONAL INDONESIA, PT;REASURANSI NASIONAL INDONESIA, PT;0.5;0.14;;0.07;0.35;0;0.14;0;1;0;0;2006Asuransi Kredit Perdagangan;2006Asuransi Kredit PerdaganganREASURANSI NASIONAL INDONESIA, PT
2006;CB;2006CB;Customs Bond;REASURANSI NASIONAL INDONESIA, PT;REASURANSI NASIONAL INDONESIA, PT;0.15;1;;0.15;0.3;0;1;0;1;0;0;2006Customs Bond;2006Customs BondREASURANSI NASIONAL INDONESIA, PT
2006;KUK;2006KUK;Kredit Usaha Kecil Konvensional;ASURANSI ASEI INDONESIA, PT;ASURANSI ASEI INDONESIA, PT;0.06;0.166666667;;0.01;0.2;0;0.166666667;0;1;0;0;2006Kredit Usaha Kecil Konvensional;2006Kredit Usaha Kecil KonvensionalASURANSI ASEI INDONESIA, PT
2006;KUK;2006KUK;Kredit Usaha Kecil Konvensional;REASURANSI NASIONAL INDONESIA, PT;REASURANSI NASIONAL INDONESIA, PT;0.06;0.833333333;;0.05;0.2;0;0.833333333;0;1;0;0;2006Kredit Usaha Kecil Konvensional;2006Kredit Usaha Kecil KonvensionalREASURANSI NASIONAL INDONESIA, PT
2006;SB;2006SB;Surety Bond;ASURANSI ASEI INDONESIA, PT;ASURANSI ASEI INDONESIA, PT;0.35;0.014285714;;0.005;0.35;0;0.014285714;0;1;0;0;2006Surety Bond;2006Surety BondASURANSI ASEI INDONESIA, PT
