TOC;COB Treaty
ABO PSAGBI;FIRE
ABO PSAKI;FIRE
Airport Liability;GENERAL ACCIDENT
Asuransi Kecelakaan Diri Xtra;GENERAL ACCIDENT
;#N/A
Asuransi Mikro Bahari;GENERAL ACCIDENT
Asuransi Mikro Proteksi Usaha Plus;GENERAL ACCIDENT
Asuransi Mikro Rumahku;GENERAL ACCIDENT
Asuransi Mikro Usahaku;GENERAL ACCIDENT
Burglary Insurance and Theft;GENERAL ACCIDENT
CAR / Contractor All Risk;ENGINEERING
Cash in ATM;GENERAL ACCIDENT
;#N/A
Cash in Cashier Box;GENERAL ACCIDENT
;#N/A
Cash in Safe;GENERAL ACCIDENT
;#N/A
Cash in Transit;MARINE CARGO
;#N/A
CECR / Civil Engineering Completed Risk;ENGINEERING
Comprehensive General Liability;GENERAL ACCIDENT
CPME / Contractor Plan Machinery and Equipment;ENGINEERING
EAR / Erection All Risk;ENGINEERING
Electronic Equipment;ENGINEERING
Fidelity Guarantee;GENERAL ACCIDENT
;#N/A
Heavy Equipment;HEAVY EQUIPMENT
IAR / Industrial All Risk;FIRE
Inland Transit cargo Domestik;MARINE CARGO
Kendaraan Pengangkut Barang;MOTOR VEHICLE
Kendaraan Penumpang;MOTOR VEHICLE
Machinery Breakdown;ENGINEERING
Marine Cargo Domestik;MARINE CARGO
;#N/A
Marine Cargo Export;MARINE CARGO
Marine Cargo Import;MARINE CARGO
;#N/A
Marine Hull;MARINE HULL
Moveable All Risk;GENERAL ACCIDENT
Offshore Property;OIL & GAS
Oil Rig;OIL & GAS
Onshore Construction Liabilitiy;OIL & GAS
Onshore Property;OIL & GAS
PA / Personnal Accident;GENERAL ACCIDENT
;#N/A
PAR / Property All Risk;FIRE
Professional Indemnity;GENERAL ACCIDENT
PSAGBI / Polis Standard Asuransi Gempa Bumi Indonesia;FIRE
PSAKDI / Polis Standard Asuransi Kecelakaan Diri Indonesia;GENERAL ACCIDENT
;#N/A
PSAKI / Polis Standard Asuransi Kebakaran Indonesia;FIRE
Public Liability;GENERAL ACCIDENT
Sepeda Motor;MOTOR VEHICLE
Terrorism and Sabotage;Full OR
Travel Insurance;GENERAL ACCIDENT
WELCAR INSURANCE;OIL & GAS
;
;
Aviation Hull;AVIATION
Aviation Loss of License;AVIATION
Aviation Premises Liabilities & Hangar Keeper;AVIATION
Comprehensive Machinery Insurance;ENGINEERING
Livestock Insurance;FIRE
PA Plus Debitur Bank Non KUR;PA Plus
PA Plus Debitur KUR;PA Plus
PA Plus Santunan;PA Plus
Port and Terminal Liability;GENERAL ACCIDENT
Wreck Removal;HEAVY EQUIPMENT
